3.51685951,  3.3763017,   2.00429076,  1.84415717,  3.70800812,  2.47333851, 2.16762129,  2.65476323,  2.95699404,  2.63489713
3.3763017,   4.18954732,  2.29214136,  2.61273832,  3.58802643, 3.17033587, 2.1250747,   3.44431099,  3.02203423,  2.64851207
2.00429076,  2.29214136,  2.76695182,  1.45708344,  1.6700938,   2.44187442, 1.53977366,  2.57750873,  2.57258795,  1.00018414
1.84415717,  2.61273832,  1.45708344,  2.08768234,  1.82472326,  1.97632211, 1.24495765,  2.61928803,  1.96240428,  1.75396203
3.70800812,  3.58802643,  1.6700938,  1.82472326,  4.68884375,  2.70491617, 2.67248078,  2.75888456,  2.83620458,  2.97042062
2.47333851,  3.17033587,  2.44187442,  1.97632211,  2.70491617,  3.38219636, 1.75453226,  3.01040897,  2.81281747,  1.92026543
2.16762129,  2.1250747,  1.53977366,  1.24495765,  2.67248078,  1.75453226, 2.06012059,  2.05171229,  1.72324852,  1.7108701
2.65476323,  3.44431099,  2.57750873,  2.61928803,  2.75888456,  3.01040897, 2.05171229,  3.83445032,  3.13647937,  2.22551479
2.95699404,  3.02203423,  2.57258795,  1.96240428,  2.83620458,  2.81281747, 1.72324852,  3.13647937,  3.84329566,  2.14129162
2.63489713,  2.64851207,  1.00018414,  1.75396203,  2.97042062,  1.92026543, 1.7108701,   2.22551479,  2.14129162,  2.75669129
